Outlet,Media Type,Type for Color,Address,Latitude,Longitude,City,Notes,State,Approximate Location,Audience: City/region,Audience,Contact,Contact type,URL
2PM,Newsletter,Digital,"Columbus, OH",39.94491838,-82.97752794,"Columbus, OH",,Ohio,yes,National,Media & Commerce professionals,web@2pml.com,,https://2pml.com/
21Ninety,Digital,Digital,"600 Wilshire Blvd, Los Angeles CA 90017",,,"Los Angeles, CA",,California,no,Nationwide,Multicultural Millennial Women,,,https://21ninety.com
Africa in Harlem,Digital,Digital,"2214 Frederick Douglass Blvd, Ste 284, New York, NY 10026",40.8066068,-73.9535563,Harlem (NY),,New York,no,Harlem,African Diaspora,"Isseu Diouf Campbell, isseu@afrikanspot.com",Founder,https://africainharlem.nyc/en/
African American Voice,Newspaper (monthly),Newspaper,"3829 Surrey Ln, Colorado Springs, CO 80918",38.8994822,-104.7562186,"Colorado Springs, CO",,Colorado,no,Colorado Springs and Denver,African-American,"James Tucker, james.tucker@africanamericanvoice.net",Publisher,https://africanamericanvoice.net/
African Voices Magazine,"Digital, Magazine",Digital,"325 Lafayette Ave, Brooklyn, NY 11238",40.6888705,-73.9626917,"Brooklyn, NY",,New York,no,New York,African,"Carolyn Butts, africanvoicesart@gmail.com",Founder,https://africanvoices.com/
African-American News and Issues,Newspaper (weekly),Newspaper,"6130 Wheatley St, Houston, TX 77091",29.8545835,-95.4284987,"Houston, TX",,Texas,no,Houston,African-American,,,https://aframnews.com/
Afro American Newspapers,Newspaper (weekly),Newspaper,"145 W. Ostend Street Ste 600, Office #536, Baltimore, MD 21230",39.2743411,-76.6176981,"Baltimore, MD",,Maryland,no,Baltimore,African-American,"Dorothy Boulware, editor@afro.com",Editor,https://afro.com/
Afrocentric,Digital,Digital,"1700 W Olney Ave, Philadelphia, PA 19141",40.0374271,-75.1500689,"Philadelphia, PA",,Pennsylvania,no,Philadelphia,Black High School Students,chs.afrocentric@gmail.com,General Inbox,https://www.chsafrocentric.com
AfroLA,Digital,Digital,"Los Angeles, CA",34.01276243,-118.3671374,"Los Angeles, CA",,California,yes,Los Angeles,Black,"Dana Amihere, info@afrolanews",Founder & Editor-in-Chief,https://afrolanews.org
AfroTech,Digital,Digital,600 Wilshire Blvd Los Angeles CA 90017,,,"Los Angeles, CA",,California,no,Nationwide,African-American Entrepreneurs & Tech Professionals,,,https://afrotech.com
All Black Business News,Digital,Digital,"463 N Arlington Ave, East Orange, NJ, 07017-3934",40.7750856,-74.2002543,"East Orange, NJ",,New Jersey,no,New York/New Jersey,African-American,"Abba Onyeani, abbnewsceo@gmail.com",Founder,https://allblackbusinessnews.com/
American Baptist News,Newspaper (weekly),Newspaper,"1715 W Chestnut St, Louisville, KY 40203",38.2516924,-85.7801397,"Louisville, KY",,Kentucky,no,Louisville,African-American,502.587.8714,General inbox,https://www.abnewsky.com
American Urban Radio Networks,"Radio, Podcast",Radio/Podcast,"938 Penn Avenue Suite 701, Pittsburgh, PA 15222",40.4440344,-79.9965584,"Pittsburgh, PA",,Nationwide,no,Nationwide,African-American,"Lenore Williams, 412-456-4098","Sr. VP, Program Operations & Affiliations",https://aurn.com
An African-American Point of View (Point of View),Magazine,Magazine,"688 Boston Road, Springfield, MA 01119",42.13635832,-72.5221408,"Springfield, MA",,Massachusetts,no,"Greater Springfield MA & Hartford, CT",African-American,"Frederick and Marjorie Hurst, 1-413-796-1500, info@afampov.com",Owners,https://www.afampointofview.com/
Anointed News Journal,Newspaper (weekly),Newspaper,"P.O. Box 309 Camden, NJ 08101",39.9099986,-75.0981842,"Camden, NJ",,New Jersey,yes,Camden,General,"Chris Collins, anjeditor@verizon.net",CEO/Editor in Chief,http://www.anointedonline.net
Arizona Coffea,Magazine (bimonthly),Magazine,"1433 N. 80th Ln., Phoenix, AZ",33.46410309,-112.2326035,"Pheonix, AZ",,Arizona,no,Phoenix,Black diaspora,"NaTyshca Pickett, 602-883-6637, natyshca@azcoffea.com",Founder and Editor-in-Chief,http://www.azcoffea.com
Arizona Informant,Newspaper (weekly),Newspaper,"1301 E Washington St Suite 101, Phoenix, AZ 85034",33.4479356,-112.0539773,"Phoenix, AZ",,Arizona,no,Phoenix,African-American,"Cloves Campbell, azinformantnewspaper@gmail.com",Editor,http://azinformant.com/
Ark Republic,Digital,Digital,"Newark, NJ",40.7343243,-74.1658544,"Newark, NJ",,New Jersey,yes,Nationwide,African-American,"buildwithus@arkrepublic.com, 973-988-5881",General inbox,https://www.arkrepublic.com/
Atlanta Black Star,Digital,Digital,"Atlanta, GA",33.755711,-84.3883717,"Atlanta, GA",,Georgia,yes,Atlanta,African-American,info@atlantablackstar.com,General inbox,http://atlantablackstar.com/
Atlanta Daily World,Digital,Digital,"100 Hartsfield Parkway, Atlanta, GA 30344",33.6552323,-84.4288369,"Atlanta, GA",,Georgia,no,Atlanta,African-American,"Duane Torrence, dtorrence@atlantatribune.com",Sales manager,https://atlantadailyworld.com/
Atlanta Tribune,Magazine (monthly),Magazine,"1372 Peachtree St, Atlanta, GA 30309",33.7918645,-84.3865242,"Atlanta, GA",,Georgia,no,Atlanta,African-American,"Katrice Mines, kmines@atlantatribune.com",Senior editor,https://atlantatribune.com/
AuthentiKally Naturale,Podcast,Radio/Podcast,"Chattanooga, TN",35.0456297,-85.3096801,"Chattanooga, TN",,Tennessee,yes,Nationwide,Black Women,Kasey Freeman and Jasmine Philyaw,Hosts,https://podcasts.apple.com/us/podcast/authentikally-naturale/id1453451153
Bakersfield News Observer,Newspaper (weekly),Newspaper,"1219 20th St, Bakersfield, CA 93301",35.3769691,-119.0159073,"Bakersfield, CA",,California,no,Bakersfield,African-American,observernews@gmail.com,General inbox,http://ognsc.com/
Basic Black,TV program,TV,"One Guest Street, Boston, MA 02135",42.35707287,-71.14458288,"Boston, MA",,Massachusetts,no,Boston,"African American; Multicultural, Indigenous","Delores Edwards, delores_edwards@wgbh.org, basic_black@wgbh.org, 617-300-2000",Executive Producer,https://www.wgbh.org/basic-black
Bay Area Review,Newspaper (biweekly),Newspaper,"1821 South Bascom Avenue #358, Campbell, CA 95008",37.2908186,-121.9324227,"Campbell, CA",,California,no,San Jose/Bay Area,African-American,"Brigitte Jones, advertising@thebayareareview.com",Publisher,https://www.thebayareareview.com/
Bay State Banner,Newspaper (weekly),Newspaper,"1100 Washington St, Dorchester Center, MA 02124",42.2739714,-71.0697404,"Dorchester Center, MA",,Massachusetts,no,Boston/New England,African-American and Latino,"Melvin Miller, mbm@b-banner.com",Publisher,https://www.baystatebanner.com/
Because of Them We Can,Digital,Digital,N/A,,,,,Nationwide,NA,Nationwide,African-American,,,https://www.becauseofthemwecan.com/
Before You Go,Podcast,Radio/Podcast,"St. Louis, MO",38.6270025,-90.1994042,"St. Louis, MO",,Nationwide,yes,Nationwide,General,Nicole Franklin & Bryant Monteilh,Hosts,https://before-you-go.simplecast.com
BELLBulletin,Digital,Digital,"13236 N 7th Street, Suite 4 #544, Phoenix, AZ 85022",33.6062928,-112.0664846,"Phoenix, AZ",,Arizona,no,Phoenix,African-American,"Leah March, publisher, bellbulletinaz@gmail.com",Founder,https://bellbulletin.com
Better to Speak,"Podcast, Digital",Radio/Podcast,N/A,,,,,"Washington, D.C.",NA,Nationwide,African-American,"Kesi Felton, hi@bettertospeak.org",Founder & Chief Storyteller,https://www.bettertospeak.org/
Birmingham Times,Newspaper (weekly),Newspaper,"115 3rd Avenue West, Birmingham, AL 35204",33.5064879,-86.8373816,"Birmingham, AL",,Alabama,no,Birmingham,African-American,"Samuel Martin, smartin@birminghamtimes.com",Publisher,https://www.birminghamtimes.com/
BK Reader,Digital,Digital,"1915 Fulton St, Brooklyn, NY 11233",40.6790166,-73.9201934,"Brooklyn, NY",,New York,no,"Brooklyn, NYC",All-inclusive,"C. Zawadi Morris, czm@bkreader.com",Publisher,https://bkreader.com/
BLAC Detroit Magazine,Magazine (monthly),Magazine,"6200 2nd Ave D-101, Detroit, MI 48202",42.3659963,-83.0744323,"Detroit, MI",,Michigan,no,Detroit,African-American,"Billy Strawter, editor@blac.media",Publisher,https://www.blac.media/
Black Agenda Report,Digital,Digital,N/A,,,,,Nationwide,NA,Nationwide,African-American,"Glen Ford, glen.ford@blackagendareport.com",Executive Editor,https://blackagendareport.com
Black American Spring,Digital,Digital,"Eugene, OR",44.0520691,-123.0867536,"Eugene, OR",,Oregon,yes,Oregon,Black Community,Chandlor Henderson,Editor-in-Chief,https://theblackamericanspring.com
Black By God,Digital,Digital,"Charleston, WV",38.3494365,-81.6313992,"Charleston, WV",,West Virginia,yes,West Virginia,African-American,"Crystal Good, publisher, crystaldawngood@gmail.com",Founder,https://blackbygod.org
Black Cannabis,Digital,Digital,N/A,40.2242807,-74.7249281,,,Nationwide,yes,Nationwide,"POC, women, veterans, LGBTQ community","info@black-cannabis.com, (609) 414-8224",General inbox,https://black-cannabis.com/
Black Catholic Messenger,Digital,Digital,"2209 Dante St., New Orleans, LA 70118",29.9559234,-90.1236281,"New Orleans, LA",,Louisiana,no,Nationwide,Black Catholic,"Nate Tinner-Williams, co-founder, nate@blackcatholicmessenger.com",Co-founder,https://www.blackcatholicmessenger.com/
Black Contemporary TV,Video (online),Digital,"2922 MLK Blvd., Dallas, TX 75215",32.7701812,-96.7653706,"Dallas, TX",,Texas,no,Global,African-Americans,"blackcontemporarytv@gmail.com, 214 218 7267","Dale Smith, Founder",https://www.blackcontemporarytv.com/
Black Enterprise,Magazine,Magazine,"500 7th Avenue, 8th Floor, New York, NY 10018",40.7501446,-73.9822542,"New York, NY",,New York,no,Nationwide,African-American,"212-242-8000, benyc_ads@blackenterprise.com",,https://www.blackenterprise.com
Black Farmers Index,Digital,Digital,"1105 Moss St #90391, Lafayette, LA 70509",30.2404576,-92.0084965,"Lafayette, LA",,Nationwide,no,Nationwide,General,"foodculture@blackfarmersindex.com, (337) 357-8321",General inbox,https://blackfarmersindex.com/
Black Headline News Channel,"TV program, Digital (video)",TV,N/A,,,,,Nationwide,NA,Global,Black People,https://www.bhnnow.com/contact,General Form,https://www.bhnnow.com/
Black History Everyday,Digital,Digital,California,36.778261,-119.4179324,California,,Nationwide,yes,Nationwide,Black audiences,"Kiki Monifa, amonifa@gmail.com, 510.847.0720",Founder,https://blackhistoryeveryday.life
Black History Untold,Digital,Digital,N/A,,,,,Pennsylvania,NA,Nationwide,African Diaspora,Sofiya Ballin,Founder,https://www.blkhistoryuntold.com
Black in Jersey,Digital,Digital,N/A,,,,,New Jersey,NA,New Jersey,African-American,"Tennyson Donyea, info@blackinjersey.com",Founder,https://www.blackinjersey.com
Black Information Network,"Radio, Digital",Radio/Podcast,N/A,,,,,Nationwide,NA,Nationwide,African-American,,,https://www.binnews.com/
Black Iowa News,"Digital, Newsletter",Digital,"P.O. Box 3395, Des Moines, IA 50316",41.60776652,-93.59671262,"Des Moines, IA",,Iowa,yes,Statewide,African-American,"Dana James, blackiowanews@icloud.com",Founder,https://blackiowanews.com/
Black Link Magazine,"Digital, Magazine",Magazine,"Houston, TX",29.6678349,-95.36699793,"Houston, TX",,Texas,yes,National,Black entertainment & health enthusiasts or entrepreneurs,"(346) 213-8176, blackisnation1@gmail.com",,https://blacklinkmag.com
Black Star News,Newspaper (weekly),Newspaper,"11 Broadway # 519, New York, NY 10004",40.705329,-74.0139696,"New York, NY",,New York,no,NYC,African-American,,,https://www.blackstarnews.com/
Black Student Magazine,Magazine,Magazine,Oregon & Washington,,,,,Nationwide,NA,Oregon & Washington,Multicultural,"Jael Calloway, 503-737-4765, jaelcalloway6@gmail.com",Director of Student Publications,https://journalisticlearning.com/black-student-magazine/
Black Voice News,"Newspaper (weekly), Digital",Newspaper,"1201 University Ave. Ste. 210, Riverside, CA 92507",33.9768759,-117.337601,"Riverside, CA",,California,no,Riverside/Inland Empire,African-American,"Paulette Brown-Hinds, info@blackvoicenews.com",Publisher,https://www.blackvoicenews.com/
Black Westchester,Magazine,Magazine,"455 Tarrytown Rd, Suite 1318, White Plains, NY 10607",41.042034,-73.8015289,"White Plains, NY",,New York,no,Westchester County,African-American,BlackWestchesterMag@gmail.com,General inbox,https://blackwestchester.com/
